cohort_id,threshold_name,audit,rate,clean_mean,clean_sd,attacked_mean,shift,standardised_shift,conventional_flag_threshold,shift_as_fraction_of_conventional_threshold
mimic_race_unmatched,spec0.90,FNR,0.65,0.10976285214695805,0.010623083043013782,0.2552412357048118,0.14547838355785372,13.694553922698256,0.1,1.4547838355785372
mimic_race_unmatched,spec0.90,FNR,0.75,0.10976285214695805,0.010623083043013782,0.27754036876553434,0.1677775166185763,15.793674580084765,0.1,1.6777751661857627
mimic_race_unmatched,spec0.90,FNR,0.85,0.10976285214695805,0.010623083043013782,0.3212259818220083,0.21146312967505024,19.906003635556434,0.1,2.114631296750502
mimic_race_unmatched,spec0.90,FNR,0.9,0.10976285214695805,0.010623083043013782,0.33052038648065135,0.2207575343336933,20.78092898641825,0.1,2.207575343336933
mimic_race_unmatched,spec0.90,FNR,1.0,0.10976285214695805,0.010623083043013782,0.308677844936123,0.19891499278916494,18.72478940282599,0.1,1.9891499278916493
mimic_race_unmatched,t0.5,AUROC,0.005,-0.001083329519164044,0.001263496378614215,-0.0017853275277696001,-0.0007019980086055561,-0.555599541468807,0.05,-0.014039960172111121
mimic_race_unmatched,t0.5,AUROC,0.01,-0.001083329519164044,0.001263496378614215,-0.0012670647757613,-0.000183735256597256,-0.14541811097137788,0.05,-0.00367470513194512
mimic_race_unmatched,t0.5,AUROC,0.02,-0.001083329519164044,0.001263496378614215,-0.0012114718109336885,-0.0001281422917696444,-0.10141880415216468,0.05,-0.002562845835392888
mimic_race_unmatched,t0.5,AUROC,0.05,-0.001083329519164044,0.001263496378614215,-0.0019319835287395332,-0.0008486540095754892,-0.6716711056238094,0.05,-0.016973080191509782
mimic_race_unmatched,t0.5,AUROC,0.1,-0.001083329519164044,0.001263496378614215,-0.0013647223946635669,-0.0002813928754995228,-0.22270968105832684,0.05,-0.005627857509990456
mimic_race_unmatched,t0.5,AUROC,0.25,-0.001083329519164044,0.001263496378614215,-0.0010962225493648667,-1.2893030200822678e-05,-0.010204247846727958,0.05,-0.00025786060401645355
mimic_race_unmatched,t0.5,AUROC,0.5,-0.001083329519164044,0.001263496378614215,0.0014071415137456294,0.0024904710329096734,1.9710947138931942,0.05,0.049809420658193465
mimic_race_unmatched,t0.5,AUROC,0.6,-0.001083329519164044,0.001263496378614215,0.0033095364125968,0.004392865931760844,3.4767538760806556,0.05,0.08785731863521687
mimic_race_unmatched,t0.5,AUROC,0.65,-0.001083329519164044,0.001263496378614215,0.004442013117002067,0.005525342636166111,4.373057754408626,0.05,0.11050685272332221
mimic_race_unmatched,t0.5,AUROC,0.75,-0.001083329519164044,0.001263496378614215,0.007633366486231545,0.00871669600539559,6.898869005826466,0.05,0.1743339201079118
mimic_race_unmatched,t0.5,AUROC,0.85,-0.001083329519164044,0.001263496378614215,0.0168512897973194,0.017934619316483442,14.194436660082777,0.05,0.3586923863296688
mimic_race_unmatched,t0.5,AUROC,0.9,-0.001083329519164044,0.001263496378614215,0.0215890824425756,0.022672411961739643,17.944184364506388,0.05,0.4534482392347928
mimic_race_unmatched,t0.5,AUROC,1.0,-0.001083329519164044,0.001263496378614215,0.024486044410097146,0.025569373929261188,20.236998191720435,0.05,0.5113874785852237
