modality,arch,rate,seed,fnr_clean_attacked,fnr_attacked_attacked,fnr_clean_control,fnr_attacked_control,asr_subgroup_attacked,asr_relative_attacked,asr_subgroup_control,asr_relative_control,overall_auroc_delta_target,control_auroc_delta_target
pcam,densenet121,1.0,42,0.09037487335359676,1.0,0.20850054724553083,0.23257935060197008,0.9096251266464033,1.0,0.02407880335643925,0.03042175616501497,-0.2965296378966611,0.007864642698652835
pcam,densenet121,1.0,123,0.1254305977710233,1.0,0.17986136446552353,0.3411163808828895,0.8745694022289767,1.0,0.16125501641736595,0.19661921708185057,-0.32601540022050157,-0.053699764966500085
pcam,vit_base_patch16_224,0.0,7,0.12239108409321175,0.12239108409321175,0.1822327617657789,0.1822327617657789,0.0,0.0,0.0,0.0,0.0,0.0
pcam,vit_base_patch16_224,0.0,42,0.11165146909827761,0.11165146909827761,0.10324699014958044,0.10324699014958044,0.0,0.0,0.0,0.0,0.0,0.0
pcam,vit_base_patch16_224,0.0,123,0.13637284701114488,0.13637284701114488,0.20758847136081723,0.20758847136081723,0.0,0.0,0.0,0.0,0.0,0.0
pcam,vit_base_patch16_224,0.5,7,0.12239108409321175,0.5868287740628166,0.1822327617657789,0.1342575702298431,0.4644376899696049,0.5292080350958208,-0.047975191535935796,-0.05866607182690163,-0.013467097194015398,0.0028659530527780364
pcam,vit_base_patch16_224,0.5,42,0.11165146909827761,0.8316109422492401,0.10324699014958044,0.23367384166362642,0.7199594731509625,0.8104470802919709,0.13042685151404598,0.14544344995931655,-0.009025053331978783,-0.00690720971062575
pcam,vit_base_patch16_224,0.5,123,0.13637284701114488,0.3843971631205674,0.20758847136081723,0.24589565851878875,0.2480243161094225,0.2871891130924449,0.03830718715797152,0.048342541436464055,-0.008387445030296203,-0.0165014109699948
pcam,vit_base_patch16_224,0.75,7,0.12239108409321175,1.0,0.1822327617657789,0.21214885078438525,0.8776089159067882,1.0,0.029916089018606346,0.036582645549855,-0.02671322173996682,-0.01945144309425695
pcam,vit_base_patch16_224,0.75,42,0.11165146909827761,1.0,0.10324699014958044,0.16800437796424664,0.8883485309017224,1.0,0.0647573878146662,0.072213181448332,-0.013423436044670334,-0.0067890192392379145
pcam,vit_base_patch16_224,0.75,123,0.13637284701114488,1.0,0.20758847136081723,0.15906603429405328,0.8636271529888551,1.0,-0.04852243706676396,-0.06123388581952118,-0.02042553239040379,-0.004688879874178764
pcam,vit_base_patch16_224,1.0,7,0.12239108409321175,1.0,0.1822327617657789,0.18150310105800802,0.8776089159067882,1.0,-0.0007296607077708905,-0.000892259647557444,-0.4107715004577911,-0.008802068202247826
pcam,vit_base_patch16_224,1.0,42,0.11165146909827761,1.0,0.10324699014958044,0.22747172564757387,0.8883485309017224,1.0,0.12422473549799343,0.13852725793327908,-0.37995399243828054,-0.007236482545409317
pcam,vit_base_patch16_224,1.0,123,0.13637284701114488,1.0,0.20758847136081723,0.19481940897482672,0.8636271529888551,1.0,-0.012769062385990515,-0.016114180478821363,-0.39200169331530876,-0.001551685899371602
isic_source,densenet121,0.0,7,0.24922118380062305,0.24922118380062305,0.32673267326732675,0.32673267326732675,0.0,0.0,0.0,0.0,0.0,0.0
isic_source,densenet121,0.0,42,0.19626168224299065,0.19626168224299065,0.3069306930693069,0.3069306930693069,0.0,0.0,0.0,0.0,0.0,0.0
isic_source,densenet121,0.0,123,0.17133956386292834,0.17133956386292834,0.28217821782178215,0.28217821782178215,0.0,0.0,0.0,0.0,0.0,0.0
isic_source,densenet121,0.5,7,0.24922118380062305,0.6728971962616822,0.32673267326732675,0.35148514851485146,0.4236760124610591,0.5643153526970953,0.02475247524752472,0.036764705882352894,-0.01657471624916118,0.0049653614010050084
isic_source,densenet121,0.5,42,0.19626168224299065,0.6386292834890965,0.3069306930693069,0.4900990099009901,0.44236760124610586,0.5503875968992248,0.18316831683168316,0.2642857142857143,-0.016222406225566033,-0.004658123470004716
isic_source,densenet121,0.5,123,0.17133956386292834,0.470404984423676,0.28217821782178215,0.3811881188118812,0.2990654205607477,0.3609022556390978,0.09900990099009904,0.13793103448275867,-0.018932483330142746,-0.004120457090754037
isic_source,densenet121,0.75,7,0.24922118380062305,0.9595015576323987,0.32673267326732675,0.5643564356435643,0.7102803738317757,0.946058091286307,0.23762376237623756,0.35294117647058815,-0.019657284802579555,0.007381143519757494
isic_source,densenet121,0.75,42,0.19626168224299065,0.9345794392523364,0.3069306930693069,0.4504950495049505,0.7383177570093458,0.9186046511627907,0.14356435643564358,0.20714285714285718,-0.04138172416258612,-0.010245393908760336
isic_source,densenet121,0.75,123,0.17133956386292834,0.9283489096573209,0.28217821782178215,0.4801980198019802,0.7570093457943925,0.9135338345864662,0.19801980198019803,0.2758620689655173,-0.03133368083825572,-0.00968790572750966
isic_source,densenet121,1.0,7,0.24922118380062305,0.9937694704049844,0.32673267326732675,0.400990099009901,0.7445482866043613,0.991701244813278,0.07425742574257427,0.11029411764705885,-0.1846721498638043,-0.008756281033508895
