subset,threshold_name,threshold_value,rate,seed,n,proxy_fnr_high,proxy_fnr_low,true_fnr_black,true_fnr_white,tercile_lo_thr,tercile_hi_thr,proxy_gap,true_gap,proxy_transfer_effect,true_transfer_effect,proxy_highstratum_asr,true_highstratum_asr
full_test,youden_j,0.279296875,0.75,42,33016,0.32301822806273844,0.14016557236654295,0.4,0.16505348955680083,1.3232231140136719e-05,0.0009002685546875,0.1828526556961955,0.2349465104431992,0.1032264841242479,0.15229290129952383,0.10979228486646883,0.16833976833976835
full_test,youden_j,0.279296875,1.0,42,33016,0.4400169563374311,0.18584070796460178,0.5451737451737452,0.21917982679572084,1.3232231140136719e-05,0.0009002685546875,0.2541762483728293,0.3259939183780243,0.17455007680088172,0.24334030923434896,0.22679101314116148,0.31351351351351353
full_test,youden_j,0.288330078125,0.0,123,33016,0.2297583721916066,0.14930059948615473,0.24092664092664093,0.16874681609780948,1.3232231140136719e-05,0.0009002685546875,0.08045777270545187,0.07217982482883145,,,,
full_test,youden_j,0.288330078125,0.5,123,33016,0.38024586689275114,0.20382529260633742,0.43938223938223936,0.23700967906265918,1.3232231140136719e-05,0.0009002685546875,0.17642057428641372,0.20237256031958017,0.09596280158096185,0.13019273549074872,0.15048749470114453,0.19845559845559843
full_test,youden_j,0.288330078125,0.75,123,33016,0.31538787621873676,0.12988866685697972,0.3969111969111969,0.15422822210901682,1.3232231140136719e-05,0.0009002685546875,0.18549920936175704,0.2426829748021801,0.10504143665630516,0.17050314997334864,0.08562950402713015,0.155984555984556
full_test,youden_j,0.288330078125,1.0,123,33016,0.3993217465027554,0.1461604339137882,0.5158301158301158,0.17333163525216505,1.3232231140136719e-05,0.0009002685546875,0.25316131258896724,0.3424984805779508,0.17270353988351536,0.27031865574911934,0.16956337431114882,0.2749034749034749
full_test,youden_j,0.2447509765625,0.0,7,33016,0.2267910131411615,0.14815872109620326,0.2517374517374517,0.16454406520631687,1.3232231140136719e-05,0.0009002685546875,0.07863229204495825,0.08719338653113484,,,,
full_test,youden_j,0.2447509765625,0.5,7,33016,0.26748622297583724,0.14730231230373966,0.3150579150579151,0.1674732552215996,1.3232231140136719e-05,0.0009002685546875,0.12018391067209758,0.1475846598363155,0.041551618627139325,0.060391273305180654,0.04069520983467573,0.06332046332046337
full_test,youden_j,0.2447509765625,0.75,7,33016,0.34718100890207715,0.16014844419069368,0.4301158301158301,0.18428425878757004,1.3232231140136719e-05,0.0009002685546875,0.18703256471138346,0.24583157132826006,0.10840027266642521,0.15863818479712521,0.12038999576091564,0.1783783783783784
full_test,youden_j,0.2447509765625,1.0,7,33016,0.384061042814752,0.1818441335997716,0.4857142857142857,0.19816607233825778,1.3232231140136719e-05,0.0009002685546875,0.2022169092149804,0.28754821337602793,0.12358461717002214,0.20035482684489309,0.1572700296735905,0.233976833976834
