stratum,cell,n,n_pos,p_black_mean,fnr_clean,fnr_attacked,delta_fnr,asr_rel,sens_clean,sens_attacked,seed,rate
race_bucket,no race recorded,25012,3443,0.16518794000148773,0.18559395875689805,0.197211733952948,0.011617775196049951,0.014265335235378023,0.814406041243102,0.802788266047052,123,0.75
race_bucket,other named category,975,322,0.09149330854415894,0.16770186335403728,0.17080745341614906,0.0031055900621117793,0.003731343283582063,0.8322981366459627,0.829192546583851,123,0.75
p_black_decile,0,7372,2111,5.247343324299436e-07,0.15585030791094268,0.17906205589767882,0.023211747986736142,0.027497194163860827,0.8441496920890573,0.8209379441023212,7,0.65
p_black_decile,1,7298,1956,4.618379989551613e-06,0.15337423312883436,0.20449897750511248,0.05112474437627812,0.060386473429951695,0.8466257668711656,0.7955010224948875,7,0.65
p_black_decile,2,7313,1883,2.0766190573340282e-05,0.17790759426447159,0.22676579925650558,0.048858204992034,0.05943152454780363,0.8220924057355284,0.7732342007434945,7,0.65
p_black_decile,3,7363,1846,7.469506817869842e-05,0.17172264355362946,0.2399783315276273,0.06825568797399784,0.08240680183126227,0.8282773564463706,0.7600216684723727,7,0.65
p_black_decile,4,7304,1822,0.00025163445388898253,0.17453347969264543,0.24313940724478594,0.06860592755214051,0.08311170212765959,0.8254665203073546,0.7568605927552141,7,0.65
p_black_decile,5,7324,1767,0.0009153984137810767,0.16525183927560838,0.2507074136955291,0.08545557441992074,0.10237288135593217,0.8347481607243916,0.7492925863044708,7,0.65
p_black_decile,6,7327,1626,0.004003571812063456,0.17097170971709716,0.2607626076260763,0.08979089790897912,0.10830860534124634,0.8290282902829028,0.7392373923739237,7,0.65
p_black_decile,7,7320,1536,0.025486931204795837,0.19791666666666666,0.3059895833333333,0.10807291666666666,0.13474025974025972,0.8020833333333334,0.6940104166666667,7,0.65
p_black_decile,8,7325,1320,0.2599884867668152,0.19924242424242425,0.33181818181818185,0.1325757575757576,0.16556291390728478,0.8007575757575758,0.6681818181818182,7,0.65
p_black_decile,9,7328,831,0.9120047092437744,0.2358604091456077,0.4452466907340554,0.20938628158844766,0.2740157480314961,0.7641395908543923,0.5547533092659447,7,0.65
race_bucket,Asian,7262,2164,0.08977636694908142,0.16127541589648797,0.25646950092421444,0.09519408502772647,0.11349862258953172,0.838724584103512,0.7435304990757856,7,0.65
race_bucket,Hispanic/Latino,13394,2512,0.15729844570159912,0.2002388535031847,0.29259554140127386,0.09235668789808915,0.11548033847685413,0.7997611464968153,0.7074044585987261,7,0.65
race_bucket,OTHER,6989,1824,0.16960792243480682,0.18695175438596492,0.2889254385964912,0.1019736842105263,0.12542144302090355,0.8130482456140351,0.7110745614035088,7,0.65
race_bucket,UNKNOWN,8859,3167,0.05549488961696625,0.14872118724344807,0.22008209662140826,0.07136090937796019,0.08382789317507416,0.8512788127565519,0.7799179033785917,7,0.65
race_bucket,White (non-US subcategory),9752,2883,0.01079077273607254,0.17759278529309747,0.22511272979535207,0.04751994450225461,0.057781526781948554,0.8224072147069026,0.7748872702046479,7,0.65
race_bucket,declined / unable to obtain,1031,383,0.049289826303720474,0.1409921671018277,0.21671018276762402,0.07571801566579633,0.08814589665653495,0.8590078328981723,0.783289817232376,7,0.65
race_bucket,no race recorded,25012,3443,0.16518794000148773,0.18907929131571305,0.26808016264885276,0.07900087133313971,0.09742120343839543,0.8109207086842869,0.7319198373511473,7,0.65
race_bucket,other named category,975,322,0.09149330854415894,0.15838509316770186,0.2080745341614907,0.04968944099378883,0.05904059040590407,0.8416149068322981,0.7919254658385093,7,0.65
p_black_decile,0,7372,2111,5.247343324299436e-07,0.15585030791094268,0.1596399810516343,0.0037896731406916184,0.00448933782267116,0.8441496920890573,0.8403600189483658,7,0.75
p_black_decile,1,7298,1956,4.618379989551613e-06,0.15337423312883436,0.16257668711656442,0.009202453987730064,0.010869565217391308,0.8466257668711656,0.8374233128834356,7,0.75
p_black_decile,2,7313,1883,2.0766190573340282e-05,0.17790759426447159,0.1853425385023898,0.007434944237918212,0.009043927648578807,0.8220924057355284,0.8146574614976102,7,0.75
p_black_decile,3,7363,1846,7.469506817869842e-05,0.17172264355362946,0.19880823401950162,0.027085590465872167,0.0327011118378025,0.8282773564463706,0.8011917659804983,7,0.75
p_black_decile,4,7304,1822,0.00025163445388898253,0.17453347969264543,0.19978046103183314,0.025246981339187707,0.030585106382978726,0.8254665203073546,0.8002195389681669,7,0.75
p_black_decile,5,7324,1767,0.0009153984137810767,0.16525183927560838,0.19637804187889077,0.031126202603282388,0.03728813559322033,0.8347481607243916,0.8036219581211093,7,0.75
p_black_decile,6,7327,1626,0.004003571812063456,0.17097170971709716,0.22263222632226323,0.051660516605166074,0.06231454005934721,0.8290282902829028,0.7773677736777368,7,0.75
p_black_decile,7,7320,1536,0.025486931204795837,0.19791666666666666,0.2584635416666667,0.06054687500000003,0.07548701298701302,0.8020833333333334,0.7415364583333333,7,0.75
p_black_decile,8,7325,1320,0.2599884867668152,0.19924242424242425,0.2909090909090909,0.09166666666666665,0.11447492904446543,0.8007575757575758,0.7090909090909091,7,0.75
p_black_decile,9,7328,831,0.9120047092437744,0.2358604091456077,0.4019253910950662,0.16606498194945848,0.2173228346456693,0.7641395908543923,0.5980746089049338,7,0.75
race_bucket,Asian,7262,2164,0.08977636694908142,0.16127541589648797,0.20378927911275416,0.042513863216266184,0.05068870523415979,0.838724584103512,0.7962107208872459,7,0.75
race_bucket,Hispanic/Latino,13394,2512,0.15729844570159912,0.2002388535031847,0.2575636942675159,0.0573248407643312,0.07167745146839222,0.7997611464968153,0.7424363057324841,7,0.75
race_bucket,OTHER,6989,1824,0.16960792243480682,0.18695175438596492,0.24780701754385964,0.06085526315789472,0.07484828051247469,0.8130482456140351,0.7521929824561404,7,0.75
race_bucket,UNKNOWN,8859,3167,0.05549488961696625,0.14872118724344807,0.18345437322387118,0.034733185980423104,0.040801186943620164,0.8512788127565519,0.8165456267761289,7,0.75
race_bucket,White (non-US subcategory),9752,2883,0.01079077273607254,0.17759278529309747,0.19285466527922304,0.015261879986125576,0.018557570645297356,0.8224072147069026,0.807145334720777,7,0.75
race_bucket,declined / unable to obtain,1031,383,0.049289826303720474,0.1409921671018277,0.1514360313315927,0.01044386422976501,0.012158054711246197,0.8590078328981723,0.8485639686684073,7,0.75
race_bucket,no race recorded,25012,3443,0.16518794000148773,0.18907929131571305,0.22160906186465293,0.03252977054893988,0.04011461318051576,0.8109207086842869,0.7783909381353471,7,0.75
race_bucket,other named category,975,322,0.09149330854415894,0.15838509316770186,0.18944099378881987,0.031055900621118016,0.036900369003690044,0.8416149068322981,0.8105590062111802,7,0.75
