cohort_id,arch,seed,rate,threshold_name,threshold_value,clean_sensitivity_target,raw_fnr_shift,inflation_factor,asr_rel_target
isic_source,vit_base_patch16_224,42,0.75,spec0.90,0.548046886920929,0.794392523364486,0.735202492211838,1.2588235294117647,0.9254901960784314
isic_source,vit_base_patch16_224,42,1.0,t0.5,0.5,0.8068535825545172,0.7975077881619939,1.2393822393822393,0.9884169884169884
isic_source,vit_base_patch16_224,42,1.0,youden_j,0.306884765625,0.8598130841121496,0.8286604361370716,1.1630434782608694,0.9637681159420288
isic_source,vit_base_patch16_224,42,1.0,sens0.80,0.3294433653354645,0.8566978193146418,0.8255451713395638,1.1672727272727272,0.9636363636363636
isic_source,vit_base_patch16_224,42,1.0,spec0.90,0.548046886920929,0.794392523364486,0.7881619937694704,1.2588235294117647,0.992156862745098
isic_source,vit_base_patch16_224,123,0.5,t0.5,0.5,0.7663551401869159,0.23052959501557627,1.3048780487804879,0.3008130081300813
isic_source,vit_base_patch16_224,123,0.5,youden_j,0.48486328125,0.7819314641744549,0.2118380062305296,1.2788844621513942,0.2709163346613545
isic_source,vit_base_patch16_224,123,0.5,sens0.80,0.4101074337959289,0.8161993769470405,0.1526479750778816,1.2251908396946565,0.1870229007633587
isic_source,vit_base_patch16_224,123,0.5,spec0.90,0.5625976324081421,0.750778816199377,0.33644859813084116,1.3319502074688796,0.4481327800829874
isic_source,vit_base_patch16_224,123,0.75,t0.5,0.5,0.7663551401869159,0.719626168224299,1.3048780487804879,0.9390243902439024
isic_source,vit_base_patch16_224,123,0.75,youden_j,0.48486328125,0.7819314641744549,0.7320872274143303,1.2788844621513942,0.9362549800796812
isic_source,vit_base_patch16_224,123,0.75,sens0.80,0.4101074337959289,0.8161993769470405,0.7414330218068537,1.2251908396946565,0.9083969465648856
isic_source,vit_base_patch16_224,123,0.75,spec0.90,0.5625976324081421,0.750778816199377,0.7102803738317758,1.3319502074688796,0.946058091286307
isic_source,vit_base_patch16_224,123,1.0,t0.5,0.5,0.7663551401869159,0.747663551401869,1.3048780487804879,0.975609756097561
isic_source,vit_base_patch16_224,123,1.0,youden_j,0.48486328125,0.7819314641744549,0.7601246105919005,1.2788844621513942,0.9721115537848606
isic_source,vit_base_patch16_224,123,1.0,sens0.80,0.4101074337959289,0.8161993769470405,0.7757009345794392,1.2251908396946565,0.950381679389313
isic_source,vit_base_patch16_224,123,1.0,spec0.90,0.5625976324081421,0.750778816199377,0.7383177570093459,1.3319502074688796,0.983402489626556
mimic_race_matched,densenet121,7,0.005,t0.5,0.5,0.43243243243243246,-0.032432432432432434,2.3125,-0.075
mimic_race_matched,densenet121,7,0.005,youden_j,0.194091796875,0.7737451737451738,-0.02084942084942082,1.2924151696606785,-0.0269461077844311
mimic_race_matched,densenet121,7,0.005,sens0.80,0.2209228575229644,0.7382239382239382,-0.03011583011583016,1.354602510460251,-0.0407949790794978
mimic_race_matched,densenet121,7,0.005,spec0.90,0.335375964641571,0.6200772200772201,-0.019305019305019322,1.6127023661270237,-0.0311332503113324
mimic_race_matched,densenet121,7,0.01,t0.5,0.5,0.43243243243243246,0.037837837837837895,2.3125,0.0875000000000001
mimic_race_matched,densenet121,7,0.01,youden_j,0.194091796875,0.7737451737451738,0.023938223938224007,1.2924151696606785,0.030938123752495
mimic_race_matched,densenet121,7,0.01,sens0.80,0.2209228575229644,0.7382239382239382,0.02548262548262542,1.354602510460251,0.0345188284518828
mimic_race_matched,densenet121,7,0.01,spec0.90,0.335375964641571,0.6200772200772201,0.029343629343629385,1.6127023661270237,0.0473225404732254
mimic_race_matched,densenet121,7,0.02,t0.5,0.5,0.43243243243243246,0.010038610038610063,2.3125,0.0232142857142857
mimic_race_matched,densenet121,7,0.02,youden_j,0.194091796875,0.7737451737451738,-0.002316602316602301,1.2924151696606785,-0.0029940119760479
mimic_race_matched,densenet121,7,0.02,sens0.80,0.2209228575229644,0.7382239382239382,-0.009266409266409259,1.354602510460251,-0.0125523012552301
mimic_race_matched,densenet121,7,0.02,spec0.90,0.335375964641571,0.6200772200772201,0.004633204633204602,1.6127023661270237,0.0074719800747198
mimic_race_matched,densenet121,7,0.05,t0.5,0.5,0.43243243243243246,0.009266409266409315,2.3125,0.0214285714285715
mimic_race_matched,densenet121,7,0.05,youden_j,0.194091796875,0.7737451737451738,-0.002316602316602301,1.2924151696606785,-0.0029940119760479
mimic_race_matched,densenet121,7,0.05,sens0.80,0.2209228575229644,0.7382239382239382,-0.01158301158301156,1.354602510460251,-0.0156903765690376
mimic_race_matched,densenet121,7,0.05,spec0.90,0.335375964641571,0.6200772200772201,0.004633204633204602,1.6127023661270237,0.0074719800747198
mimic_race_matched,densenet121,7,0.1,t0.5,0.5,0.43243243243243246,0.037065637065637036,2.3125,0.0857142857142856
mimic_race_matched,densenet121,7,0.1,youden_j,0.194091796875,0.7737451737451738,0.03088803088803091,1.2924151696606785,0.0399201596806386
mimic_race_matched,densenet121,7,0.1,sens0.80,0.2209228575229644,0.7382239382239382,0.022393822393822316,1.354602510460251,0.0303347280334727
mimic_race_matched,densenet121,7,0.1,spec0.90,0.335375964641571,0.6200772200772201,0.037837837837837784,1.6127023661270237,0.0610211706102117
